player_name,team_name,position,position_rank,cba_id,player_rating,PO_group
Mulhearn Scott,Kotlarka-Praha,SS,SS,442.0,45.1,batter
Novák Jan,Kotlarka-Praha,SP,SP-1,472.0,48.0,starting_pitcher
Padyšák Daniel,Kotlarka-Praha,SP,SP-2,494.0,42.0,starting_pitcher
Ercoli Lukáš,Kotlarka-Praha,SP,SP-3,144.0,38.1,starting_pitcher
Dupal Štěpán,Kotlarka-Praha,RP,RP-1,123.0,33.8,relief_pitcher
Král Michael,Kotlarka-Praha,RP,RP-2,328.0,36.7,relief_pitcher
Cihlář Josef,Kotlarka-Praha,RP,RP-3,98.0,37.2,relief_pitcher
Šůcha Matěj,Kotlarka-Praha,RF,RF,753.0,38.1,batter
Mužík Martin,Kotlarka-Praha,LF,LF,445.0,41.7,batter
Aubrecht Ivan,Kotlarka-Praha,DH,DH,7.0,39.9,batter
Blažka Ondřej,Kotlarka-Praha,CF,CF,42.0,39.4,batter
Vavruša Daniel,Kotlarka-Praha,C,C,655.0,45.1,batter
Puš Jáchym,Kotlarka-Praha,3B,3B,855.0,36.7,batter
Smola Filip,Kotlarka-Praha,2B,2B,602.0,33.8,batter
Sládek Jakub,Kotlarka-Praha,1B,1B,599.0,41.7,batter
Schneider Martin,Draci-Brno,SS,SS,581.0,44.6,batter
Chroust Radim,Draci-Brno,SP,SP-1,95.0,43.2,starting_pitcher
Furko Ondřej,Draci-Brno,SP,SP-2,166.0,40.3,starting_pitcher
Schneider Martin,Draci-Brno,SP,SP-3,581.0,39.0,starting_pitcher
Čapka Filip,Draci-Brno,RP,RP-1,759.0,33.8,relief_pitcher
Večerka Viktor,Draci-Brno,RP,RP-2,1170.0,36.7,relief_pitcher
Vašourek Jan,Draci-Brno,RP,RP-3,658.0,38.1,relief_pitcher
Hajtmar Adam,Draci-Brno,RF,RF,188.0,40.8,batter
Moštěk Filip,Draci-Brno,LF,LF,437.0,41.7,batter
Polanský Tomáš,Draci-Brno,DH,DH,527.0,40.3,batter
Dubový Arnošt,Draci-Brno,CF,CF,128.0,44.6,batter
Řehůřek Lukáš,Draci-Brno,C,C,451.0,37.6,batter
Červinka Tomáš,Draci-Brno,3B,3B,768.0,33.8,batter
Hajtmar Jakub,Draci-Brno,2B,2B,189.0,43.6,batter
Chroust Přemek,Draci-Brno,1B,1B,94.0,43.6,batter
Kubica Jakub,Arrows-Ostrava,SS,SS,330.0,41.3,batter
Satoria Ondřej,Arrows-Ostrava,SP,SP-1,579.0,45.1,starting_pitcher
Bokaj Boris,Arrows-Ostrava,SP,SP-2,46.0,41.7,starting_pitcher
Ondra Tomáš,Arrows-Ostrava,SP,SP-3,482.0,33.8,starting_pitcher
Vykoukal Marko,Arrows-Ostrava,RP,RP-1,680.0,41.3,relief_pitcher
Satoria Matěj,Arrows-Ostrava,RP,RP-2,578.0,37.6,relief_pitcher
Kubovčík Martin,Arrows-Ostrava,RP,RP-3,332.0,38.5,relief_pitcher
Černý Daniel,Arrows-Ostrava,RF,RF,765.0,37.6,batter
Navrátil Aleš,Arrows-Ostrava,LF,LF,455.0,41.3,batter
Juněc Tomáš,Arrows-Ostrava,DH,DH,260.0,47.5,batter
Malík Jakub,Arrows-Ostrava,CF,CF,391.0,45.1,batter
Vykoukal Michael,Arrows-Ostrava,C,C,681.0,44.1,batter
Kubica Jakub,Arrows-Ostrava,3B,3B,330.0,41.3,batter
Novotný Radim,Arrows-Ostrava,2B,2B,470.0,33.8,batter
Grepl Jakub,Arrows-Ostrava,1B,1B,177.0,40.3,batter
Zýma Petr,Eagles-Praha,SS,SS,722.0,45.1,batter
Duffek Tomáš,Eagles-Praha,SP,SP-1,133.0,45.1,starting_pitcher
Hegr Ondřej,Eagles-Praha,SP,SP-2,1152.0,39.0,starting_pitcher
Eagles-Praha-SP-3,Eagles-Praha,SP,SP-3,,33.8,starting_pitcher
Bužga Vojtěch,Eagles-Praha,RP,RP-1,69.0,38.1,relief_pitcher
Blažek Šimon,Eagles-Praha,RP,RP-2,41.0,36.7,relief_pitcher
Kvapil Ondřej,Eagles-Praha,RP,RP-3,1153.0,37.2,relief_pitcher
Chlup Marek,Eagles-Praha,RF,RF,88.0,43.0,batter
Pojer Jan,Eagles-Praha,LF,LF,521.0,41.7,batter
Eagles-Praha-DH,Eagles-Praha,DH,DH,,33.8,batter
Hejma Matěj,Eagles-Praha,CF,CF,196.0,50.5,batter
Eagles-Praha-C,Eagles-Praha,C,C,,33.8,batter
Bužga Vojtěch,Eagles-Praha,3B,3B,69.0,38.1,batter
Zýma Michal,Eagles-Praha,2B,2B,721.0,43.2,batter
Homolka Jan,Eagles-Praha,1B,1B,215.0,39.9,batter
Menšík Vojtěch,Hrosi-Brno,SS,SS,417.0,45.0,batter
Hussey John,Hrosi-Brno,SP,SP-1,225.0,45.6,starting_pitcher
Kucin Jan,Hrosi-Brno,SP,SP-2,336.0,38.5,starting_pitcher
Kraut Svatoslav,Hrosi-Brno,SP,SP-3,320.0,35.8,starting_pitcher
Kollár Martin,Hrosi-Brno,RP,RP-1,292.0,38.1,relief_pitcher
Puškár Michal,Hrosi-Brno,RP,RP-2,1214.0,36.3,relief_pitcher
Novotný Petr,Hrosi-Brno,RP,RP-3,469.0,36.7,relief_pitcher
Janoud Tomáš,Hrosi-Brno,RF,RF,241.0,41.7,batter
Ondráček Michal,Hrosi-Brno,LF,LF,485.0,44.6,batter
Dvořák Martin,Hrosi-Brno,DH,DH,138.0,39.0,batter
Ondroušek Dan,Hrosi-Brno,CF,CF,483.0,38.1,batter
Trunkát Lukáš,Hrosi-Brno,C,C,641.0,39.4,batter
Claus Filip,Hrosi-Brno,3B,3B,100.0,40.8,batter
Ondráček Jakub,Hrosi-Brno,2B,2B,484.0,42.7,batter
Claus Filip,Hrosi-Brno,1B,1B,100.0,40.8,batter
Vávra Robin,Nuclears-Trebic,SS,SS,1161.0,36.7,batter
Hlouch Lukáš,Nuclears-Trebic,SP,SP-1,797.0,41.7,starting_pitcher
Vávra Robin,Nuclears-Trebic,SP,SP-2,1161.0,37.6,starting_pitcher
Mazura Martin,Nuclears-Trebic,SP,SP-3,1216.0,36.3,starting_pitcher
