player_name,team_name,position,player_rating,PO_group
Raul Alcantara,Doosan-Bears,SP,62.0,starting_pitcher
Chris Flexen,Doosan-Bears,SP,72.0,starting_pitcher
Lee Young-ha,Doosan-Bears,SP,61.0,starting_pitcher
Yu Hui-kwan,Doosan-Bears,SP,61.0,starting_pitcher
Lee Yong-chan,Doosan-Bears,SP,61.0,starting_pitcher
Kim Seung-hui,Doosan-Bears,RP,58.0,relief_pitcher
Ham Duk-joo,Doosan-Bears,RP,57.0,relief_pitcher
Yoon Myung-jun,Doosan-Bears,RP,57.0,relief_pitcher
Lee Hyun-seung,Doosan-Bears,RP,56.0,relief_pitcher
Park Chi-guk,Doosan-Bears,RP,55.0,relief_pitcher
Kwon Hyuk,Doosan-Bears,RP,55.0,relief_pitcher
Lee Hyung-bum,Doosan-Bears,RP,54.0,relief_pitcher
Warwick Saupold,Hanwha-Eagles,SP,68.0,starting_pitcher
Chad Bell,Hanwha-Eagles,SP,63.0,starting_pitcher
Jang Min-jae,Hanwha-Eagles,SP,61.0,starting_pitcher
Jang Shi-hwan,Hanwha-Eagles,SP,60.0,starting_pitcher
Kim Bum-soo,Hanwha-Eagles,SP,54.0,starting_pitcher
Jung Woo-ram,Hanwha-Eagles,RP,57.0,relief_pitcher
Kim Min-woo,Hanwha-Eagles,RP,56.0,relief_pitcher
Park Sang-won,Hanwha-Eagles,RP,55.0,relief_pitcher
Lee Tae-yang,Hanwha-Eagles,RP,57.0,relief_pitcher
Ahn Young-myung,Hanwha-Eagles,RP,56.0,relief_pitcher
Im Joon-seop,Hanwha-Eagles,RP,56.0,relief_pitcher
Shin Jung-rak,Hanwha-Eagles,RP,55.0,relief_pitcher
Yang Hyun-jong,Kia-Tigers,SP,76.0,starting_pitcher
Drew Gagnon,Kia-Tigers,SP,72.0,starting_pitcher
Aaron Brooks,Kia-Tigers,SP,71.0,starting_pitcher
Lee Min-woo,Kia-Tigers,SP,57.0,starting_pitcher
Im Ki-young,Kia-Tigers,SP,56.0,starting_pitcher
Moon Kyung-chan,Kia-Tigers,RP,59.0,relief_pitcher
Lee Joon-young,Kia-Tigers,RP,56.0,relief_pitcher
Ha Joon-young,Kia-Tigers,RP,56.0,relief_pitcher
Ko Young-chang,Kia-Tigers,RP,55.0,relief_pitcher
Park Joon-pyo,Kia-Tigers,RP,55.0,relief_pitcher
Jeon Sang-hyun,Kia-Tigers,RP,58.0,relief_pitcher
Im Ki-jun,Kia-Tigers,RP,56.0,relief_pitcher
Eric Jokisch,Kiwoom-Heroes,SP,69.0,starting_pitcher
Jake Brigham,Kiwoom-Heroes,SP,67.0,starting_pitcher
Choi Won-tae,Kiwoom-Heroes,SP,66.0,starting_pitcher
Lee Seung-ho,Kiwoom-Heroes,SP,59.0,starting_pitcher
Ahn Woo-jin,Kiwoom-Heroes,SP,58.0,starting_pitcher
Jo Sang-woo,Kiwoom-Heroes,RP,59.0,relief_pitcher
Oh Ju-won,Kiwoom-Heroes,RP,58.0,relief_pitcher
Kim Sung-min,Kiwoom-Heroes,RP,57.0,relief_pitcher
Kim Sang-su,Kiwoom-Heroes,RP,57.0,relief_pitcher
Kim Dong-jun,Kiwoom-Heroes,RP,57.0,relief_pitcher
Yoon Young-sam,Kiwoom-Heroes,RP,56.0,relief_pitcher
Han Hyun-hee,Kiwoom-Heroes,RP,57.0,relief_pitcher
William Cuevas,KT-Wiz,SP,61.0,starting_pitcher
Odrisamer Despaigne,KT-Wiz,SP,72.0,starting_pitcher
Kim Min,KT-Wiz,SP,57.0,starting_pitcher
Kim Min-soo,KT-Wiz,SP,56.0,starting_pitcher
Bae Je-seong,KT-Wiz,SP,60.0,starting_pitcher
Jeon Yoo-soo,KT-Wiz,RP,57.0,relief_pitcher
Kim Jae-yoon,KT-Wiz,RP,57.0,relief_pitcher
Son Dong-hyun,KT-Wiz,RP,56.0,relief_pitcher
Yoo Won-sang,KT-Wiz,RP,56.0,relief_pitcher
Lee Dae-eun,KT-Wiz,RP,56.0,relief_pitcher
Ju Kwon,KT-Wiz,RP,57.0,relief_pitcher
Jung Sung-gon,KT-Wiz,RP,56.0,relief_pitcher
Tyler Wilson,LG-Twins,SP,69.0,starting_pitcher
Casey Kelly,LG-Twins,SP,67.0,starting_pitcher
Cha Woo-chan,LG-Twins,SP,61.0,starting_pitcher
Lim Chan-gyu,LG-Twins,SP,56.0,starting_pitcher
Lee Woo-chan,LG-Twins,SP,55.0,starting_pitcher
Ko Woo-seok,LG-Twins,RP,58.0,relief_pitcher
Jin Hae-soo,LG-Twins,RP,57.0,relief_pitcher
Jung Woo-young,LG-Twins,RP,56.0,relief_pitcher
Kim Dae-hyun,LG-Twins,RP,56.0,relief_pitcher
Bae Jae-jun,LG-Twins,RP,56.0,relief_pitcher
Moon Gwang-eun,LG-Twins,RP,56.0,relief_pitcher
Song Eun-beom,LG-Twins,RP,54.0,relief_pitcher
Adrian Sampson,Lotte-Giants,SP,71.0,starting_pitcher
Dan Straily,Lotte-Giants,SP,55.0,starting_pitcher
Park Se-woong,Lotte-Giants,SP,58.0,starting_pitcher
Kim Won-joong,Lotte-Giants,SP,58.0,starting_pitcher
Park Shi-young,Lotte-Giants,SP,57.0,starting_pitcher
Ko Hyo-jun,Lotte-Giants,RP,57.0,relief_pitcher
Jin Myung-ho,Lotte-Giants,RP,56.0,relief_pitcher
Park Jin-hyung,Lotte-Giants,RP,56.0,relief_pitcher
Koo Seung-min,Lotte-Giants,RP,56.0,relief_pitcher
Choi Young-hwan,Lotte-Giants,RP,56.0,relief_pitcher
Song Seung-jun,Lotte-Giants,RP,55.0,relief_pitcher
Jang Won-sam,Lotte-Giants,RP,55.0,relief_pitcher
Drew Rucinski,NC-Dinos,SP,64.0,starting_pitcher
Mike Wright,NC-Dinos,SP,55.0,starting_pitcher
Koo Chang-mo,NC-Dinos,SP,62.0,starting_pitcher
Lee Jae-hak,NC-Dinos,SP,61.0,starting_pitcher
Park Jin-woo,NC-Dinos,SP,60.0,starting_pitcher
Bae Jae-hwan,NC-Dinos,RP,57.0,relief_pitcher
Kang Yoon-gu,NC-Dinos,RP,57.0,relief_pitcher
