team_name,batter_rating,rp_rating,sp_rating,brating,sprating,rprating,proj_win_pct,actual_win_pct
SK-Wyverns,61.0,54.0,64.0,1.0,1.058,1.0,0.552,0.615
Kia-Tigers,61.0,54.0,63.0,1.0,1.041,1.0,0.539,0.437
Doosan-Bears,64.0,55.0,60.0,1.049,0.992,1.019,0.526,0.615
LG-Twins,61.0,54.0,62.0,1.0,1.025,1.0,0.525,0.552
Kiwoom-Heroes,61.0,55.0,61.0,1.0,1.008,1.019,0.519,0.601
Hanwha-Eagles,59.0,55.0,61.0,0.967,1.008,1.019,0.505,0.403
KT-Wiz,60.0,54.0,60.0,0.984,0.992,1.0,0.49,0.5
NC-Dinos,61.0,54.0,59.0,1.0,0.975,1.0,0.483,0.514
Samsung-Lions,59.0,54.0,59.0,0.967,0.975,1.0,0.469,0.42
Lotte-Giants,60.0,55.0,54.0,0.984,0.893,1.019,0.415,0.348
