team_name,batter_rating,rp_rating,sp_rating,brating,sprating,rprating,proj_win_pct
Kia-Tigers,61.0,57.0,66.0,0.968,1.065,1.018,0.553
Kiwoom-Heroes,64.0,57.0,64.0,1.016,1.032,1.018,0.546
Doosan-Bears,65.0,56.0,63.0,1.032,1.016,1.0,0.531
SK-Wyverns,63.0,57.0,62.0,1.0,1.0,1.018,0.512
KT-Wiz,63.0,56.0,62.0,1.0,1.0,1.0,0.504
LG-Twins,62.0,56.0,62.0,0.984,1.0,1.0,0.497
NC-Dinos,64.0,56.0,60.0,1.016,0.968,1.0,0.484
Hanwha-Eagles,61.0,56.0,61.0,0.968,0.984,1.0,0.477
Lotte-Giants,63.0,56.0,60.0,1.0,0.968,1.0,0.477
Samsung-Lions,61.0,55.0,58.0,0.968,0.935,0.982,0.428
