player_name,team_name,position,player_rating,PO_group
Martin Maldonado,houston-astros,C,74.0,batter
Yuli Gurriel,houston-astros,1B,77.0,batter
Jose Altuve,houston-astros,2B,88.0,batter
Carlos Correa,houston-astros,SS,89.0,batter
Alex Bregman,houston-astros,3B,92.0,batter
Michael Brantley,houston-astros,LF,80.0,batter
George Springer,houston-astros,CF,90.0,batter
Josh Reddick,houston-astros,RF,74.0,batter
Yordan Alvarez,houston-astros,DH,85.0,batter
Zack Greinke,houston-astros,SP,82.0,starting_pitcher
Justin Verlander,houston-astros,SP,89.0,starting_pitcher
Jose Urquidy,houston-astros,SP,77.0,starting_pitcher
Lance McCullers Jr.,houston-astros,SP,83.0,starting_pitcher
Joshua James,houston-astros,SP,77.0,starting_pitcher
Roberto Osuna,houston-astros,RP,75.0,relief_pitcher
Ryan Pressly,houston-astros,RP,75.0,relief_pitcher
Chris Devenski,houston-astros,RP,72.0,relief_pitcher
Bryan Abreu,houston-astros,RP,72.0,relief_pitcher
Joe Smith,houston-astros,RP,72.0,relief_pitcher
Brad Peacock,houston-astros,RP,73.0,relief_pitcher
Framber Valdez,houston-astros,RP,74.0,relief_pitcher
Roberto Perez,cleveland-indians,C,76.0,batter
Carlos Santana,cleveland-indians,1B,81.0,batter
Cesar Hernandez,cleveland-indians,2B,78.0,batter
Francisco Lindor,cleveland-indians,SS,91.0,batter
Jose Ramirez,cleveland-indians,3B,90.0,batter
Domingo Santana,cleveland-indians,LF,72.0,batter
Tyler Naquin,cleveland-indians,CF,73.0,batter
Oscar Mercado,cleveland-indians,RF,74.0,batter
Franmil Reyes,cleveland-indians,DH,76.0,batter
Shane Bieber,cleveland-indians,SP,89.0,starting_pitcher
Mike Clevinger,cleveland-indians,SP,87.0,starting_pitcher
Carlos Carrasco,cleveland-indians,SP,85.0,starting_pitcher
Aaron Civale,cleveland-indians,SP,74.0,starting_pitcher
Zach Plesac,cleveland-indians,SP,73.0,starting_pitcher
Brad Hand,cleveland-indians,RP,74.0,relief_pitcher
