team_name,batter_rating,sp_rating,rp_rating,proj_win_pct,actual_win_pct
los-angeles-dodgers,86.0,87.0,77.0,0.58,
houston-astros,86.0,85.0,77.0,0.558,
new-york-yankees,86.0,88.0,76.0,0.581,
tampa-bay-rays,83.0,86.0,77.0,0.532,
minnesota-twins,85.0,84.0,76.0,0.526,
oakland-athletics,84.0,81.0,77.0,0.491,
washington-nationals,85.0,86.0,76.0,0.547,
cleveland-indians,84.0,86.0,77.0,0.544,
atlanta-braves,86.0,86.0,77.0,0.569,
boston-red-sox,85.0,84.0,76.0,0.526,
chicago-cubs,86.0,85.0,76.0,0.549,
boston-red-sox,85.0,84.0,76.0,0.526,
new-york-mets,84.0,87.0,77.0,0.555,
san-diego-padres,85.0,82.0,76.0,0.505,
los-angeles-angels,84.0,82.0,77.0,0.502,
cincinnati-reds,82.0,86.0,76.0,0.51,
milwaukee-brewers,83.0,81.0,78.0,0.488,
st-louis-cardinals,84.0,84.0,76.0,0.514,
philadelphia-phillies,86.0,84.0,77.0,0.548,
arizona-diamondbacks,82.0,83.0,76.0,0.478,
texas-rangers,79.0,86.0,77.0,0.483,
colorado-rockies,81.0,84.0,76.0,0.477,
toronto-blue-jays,81.0,82.0,75.0,0.446,
kansas-city-royals,81.0,81.0,75.0,0.435,
pittsburgh-pirates,81.0,82.0,75.0,0.446,
san-francisco-giants,83.0,79.0,76.0,0.448,
detroit-tigers,77.0,82.0,75.0,0.396,
miami-marlins,81.0,81.0,76.0,0.445,
seattle-mariners,80.0,80.0,77.0,0.431,
baltimore-orioles,78.0,78.0,75.0,0.366,
